q	phi	n_nr	rank_minus1	is_max	V_minus1	argmax_m	V_argmax	margin
1787	1786	893	1	1	20595.909646	893	20595.909646	1217.702840
1811	1810	905	1	1	20904.866306	905	20904.866306	1262.927000
1823	1822	911	1	1	21087.056008	911	21087.056008	1340.844310
1831	1830	915	1	1	21188.003249	915	21188.003249	1197.210287
1847	1846	923	1	1	21402.529786	923	21402.529786	1324.032279
1867	1866	933	1	1	21699.480593	933	21699.480593	1235.663040
1871	1870	935	1	1	21727.193790	935	21727.193790	1549.023447
1879	1878	939	1	1	21848.663883	939	21848.663883	1216.272226
1907	1906	953	1	1	22224.586874	953	22224.586874	1311.121126
1931	1930	965	1	1	22545.041525	965	22545.041525	1328.040588
1951	1950	975	1	1	22833.459493	975	22833.459493	1251.670932
1979	1978	989	1	1	23223.360020	989	23223.360020	1356.891753
1987	1986	993	1	1	23306.851065	993	23306.851065	1293.550424
1999	1998	999	1	1	23490.699108	999	23490.699108	1294.997122
2003	2002	1001	1	1	23535.744183	1001	23535.744183	1388.628185
2011	2010	1005	1	1	23671.398531	1005	23671.398531	1327.778590
2027	2026	1013	1	1	23874.587671	1013	23874.587671	1385.971796
2039	2038	1019	1	1	24025.578936	1019	24025.578936	1678.120693
2063	2062	1031	1	1	24358.673594	1031	24358.673594	1520.211503
2083	2082	1041	1	1	24655.825170	1041	24655.825170	1368.236182
2087	2086	1043	1	1	24707.086328	1043	24707.086328	1536.553363
2099	2098	1049	1	1	24857.223323	1049	24857.223323	1452.142851
2111	2110	1055	1	1	25045.818394	1055	25045.818394	1746.696988
2131	2130	1065	1	1	25340.014851	1065	25340.014851	1397.049786
2143	2142	1071	1	1	25471.293746	1071	25471.293746	1368.236723
2179	2178	1089	1	1	26003.849830	1089	26003.849830	1413.561745
2203	2202	1101	1	1	26320.853691	1101	26320.853691	1444.149806
2207	2206	1103	1	1	26375.916048	1103	26375.916048	1599.381444
2239	2238	1119	1	1	26825.252349	1119	26825.252349	1437.719556
2243	2242	1121	1	1	26891.926733	1121	26891.926733	1565.868166
2251	2250	1125	1	1	26979.465890	1125	26979.465890	1466.560165
2267	2266	1133	1	1	27221.302627	1133	27221.302627	1560.062099
2287	2286	1143	1	1	27485.300750	1143	27485.300750	1493.432485
2311	2310	1155	1	1	27846.803305	1155	27846.803305	1523.776737
