q	x	minus_one_rank	minus_one_tie_size	leaders	D_minus_one
8	1252936913585	3	1	3	36022
8	1300000000000	1	1	7	35485
8	1438496587537	2	1	5	36491
8	1729345141047	2	1	3	59715
8	1810818357179	3	1	3	74784
8	1896129953972	2	1	3	68160
8	1985460765900	3	1	3	48330
8	2079000146941	2	1	3	58693
8	2176946371954	1	1	7	73201
8	2279507056955	2	1	5	83363
8	2386899599205	1	1	7	70168
8	2617101537311	3	1	5	93074
8	2740398890815	2	1	5	88661
8	3449688140017	1	1	7	63257
8	3782389564056	2	1	5	73515
8	3960586174514	1	1	7	48926
8	4342560604319	2	1	3	84154
8	4547148092543	3	1	5	54720
8	4761374142932	2	1	5	85619
8	4985692849142	3	1	3	87582
8	5220579698171	1	1	7	65313
8	5466532578244	2	1	3	58839
8	7205617486879	1	1	7	126387
8	7545089820617	2	1	3	99443
8	8272767809448	3	1	3	113328
8	8662515919149	3	1	5	71870
8	9945432570527	2	1	5	124456
8	11418348888254	1	1	7	156377
8	13727016344541	2	1	3	116978
8	15050903519343	1	1	7	180555
8	20773756912534	2	1	5	198086
8	21752453846202	3	1	5	232846
8	22777259324031	2	1	5	199757
8	23850345619961	3	1	3	131538
8	26150566286152	2	1	3	114067
8	27382576420175	3	1	3	108503
8	34469926781966	3	1	5	149793
8	37794341413493	2	1	3	188209
8	39574915154062	1	1	7	242401
8	41439375601662	2	1	3	254621
8	47576537770051	3	1	3	228052
8	52165005255944	1	1	7	270953
8	62712208811383	2	1	5	239218
8	65666717556514	1	1	7	334360
8	86557473418223	2	1	5	315937
8	90635384514286	3	1	5	356863
8	100000000000000	2	1	5	427828
8	104058464492742	3	1	5	355499
8	108960885395717	2	1	5	352276
8	119469499584686	3	1	5	379573
8	125097967916282	3	1	3	338072
8	130991605649859	1	1	7	402919
8	137162905493486	2	1	3	488384
8	143624948713920	1	1	7	440811
8	157476700821694	2	1	3	497531
8	189316797657804	3	1	3	195221
8	200000000000000	1	1	7	168625
8	249544735760329	2	1	5	473851
8	261301331773756	3	1	5	462746
8	273611806631400	2	1	5	721948
8	300000000000000	3	1	5	505845
11	1000000	5	1	6	-19
11	1047112	5	1	7	-29
11	1096444	5	1	6	-18
11	1202189	5	1	2	-35
11	1258827	5	1	6	-29
11	1380233	4	1	6	19
