q	a	window	K_zeros_per_character	n_points	correlation	rmse	endpoint_error
11	6	x_ge_1e10	1	234	0.796688255	2.05248484	-2.90162945
11	6	x_ge_1e10	3	234	0.882626418	1.59943938	-1.17707368
11	6	x_ge_1e10	10	234	0.938801336	1.18292321	-0.653313211
11	6	x_ge_1e10	25	234	0.961762896	0.952628165	0.121258328
11	6	x_ge_1e13	1	78	0.794349504	2.10708095	-2.90162945
11	6	x_ge_1e13	3	78	0.867727647	1.72735363	-1.17707368
11	6	x_ge_1e13	10	78	0.928724562	1.29196265	-0.653313211
11	6	x_ge_1e13	25	78	0.965678127	0.911567965	0.121258328
11	6	top_decade	1	53	0.796396132	2.19211414	-2.90162945
11	6	top_decade	3	53	0.859655073	1.85601877	-1.17707368
11	6	top_decade	10	53	0.931379742	1.32166002	-0.653313211
11	6	top_decade	25	53	0.966240979	0.93500675	0.121258328
11	7	full	1	438	0.718617995	1.86695493	-0.49791807
11	7	full	3	438	0.823307565	1.53186663	-1.01864834
11	7	full	10	438	0.894659936	1.2121856	-1.55866614
11	7	full	25	438	0.940481187	0.936124827	-0.921089655
11	7	x_ge_1e10	1	234	0.728656264	1.86441088	-0.49791807
11	7	x_ge_1e10	3	234	0.83937533	1.48550806	-1.01864834
11	7	x_ge_1e10	10	234	0.908081777	1.15062955	-1.55866614
11	7	x_ge_1e10	25	234	0.944836655	0.912264018	-0.921089655
11	7	x_ge_1e13	1	78	0.657922567	1.60411055	-0.49791807
11	7	x_ge_1e13	3	78	0.76020276	1.38918708	-1.01864834
11	7	x_ge_1e13	10	78	0.835240385	1.17497647	-1.55866614
11	7	x_ge_1e13	25	78	0.920875743	0.840680549	-0.921089655
11	7	top_decade	1	53	0.603575465	1.71508648	-0.49791807
11	7	top_decade	3	53	0.717161906	1.49715474	-1.01864834
11	7	top_decade	10	53	0.795288595	1.30177834	-1.55866614
11	7	top_decade	25	53	0.919932302	0.845367213	-0.921089655
11	8	full	1	438	0.680718474	2.02113493	2.84817582
11	8	full	3	438	0.806991911	1.63533132	2.46131405
11	8	full	10	438	0.904164754	1.19402559	1.15497207
11	8	full	25	438	0.946415055	0.918275005	1.73955692
11	8	x_ge_1e10	1	234	0.730835871	1.91990307	2.84817582
11	8	x_ge_1e10	3	234	0.839499246	1.53059765	2.46131405
11	8	x_ge_1e10	10	234	0.908374529	1.18354966	1.15497207
11	8	x_ge_1e10	25	234	0.943070094	0.951496819	1.73955692
11	8	x_ge_1e13	1	78	0.705381689	1.86884012	2.84817582
11	8	x_ge_1e13	3	78	0.846892239	1.41174154	2.46131405
11	8	x_ge_1e13	10	78	0.879092531	1.26127548	1.15497207
11	8	x_ge_1e13	25	78	0.925850028	1.00648752	1.73955692
11	8	top_decade	1	53	0.759308156	1.77509366	2.84817582
11	8	top_decade	3	53	0.844308859	1.46083614	2.46131405
11	8	top_decade	10	53	0.879202232	1.2982279	1.15497207
11	8	top_decade	25	53	0.932108243	0.992999039	1.73955692
11	10	full	1	438	0.77526162	2.07016319	-1.34561512
11	10	full	3	438	0.881407832	1.55755965	-0.249649818
11	10	full	10	438	0.938616717	1.14496829	0.60710725
11	10	full	25	438	0.96742951	0.857274684	0.182832446
11	10	x_ge_1e10	1	234	0.770817213	2.04939729	-1.34561512
11	10	x_ge_1e10	3	234	0.895260902	1.4391401	-0.249649818
11	10	x_ge_1e10	10	234	0.935152447	1.1478463	0.60710725
11	10	x_ge_1e10	25	234	0.960831051	0.908940482	0.182832446
11	10	x_ge_1e13	1	78	0.770336694	1.65856865	-1.34561512
11	10	x_ge_1e13	3	78	0.877346457	1.2492371	-0.249649818
11	10	x_ge_1e13	10	78	0.904798623	1.11061857	0.60710725
11	10	x_ge_1e13	25	78	0.939265577	0.908912895	0.182832446
11	10	top_decade	1	53	0.805840314	1.51519794	-1.34561512
11	10	top_decade	3	53	0.866294698	1.29322448	-0.249649818
11	10	top_decade	10	53	0.896625792	1.15700345	0.60710725
11	10	top_decade	25	53	0.938516494	0.919052256	0.182832446
19	2	full	1	438	0.753797986	3.32009889	5.82798069
19	2	full	3	438	0.836024766	2.80357999	5.54507543
19	2	full	10	438	0.924435803	2.0125685	3.25005156
19	2	full	25	438	0.958540336	1.5856545	1.01873123
19	2	x_ge_1e10	1	234	0.67892152	3.29240611	5.82798069
19	2	x_ge_1e10	3	234	0.769892188	2.86792137	5.54507543
19	2	x_ge_1e10	10	234	0.911329351	1.89352388	3.25005156
19	2	x_ge_1e10	25	234	0.958706575	1.36953089	1.01873123
19	2	x_ge_1e13	1	78	0.470504415	3.63341592	5.82798069
19	2	x_ge_1e13	3	78	0.599301875	3.28477295	5.54507543
