q	x	a	E_observed	E_K1	E_K3	E_K10	E_K25
11	4352755893	2	2.71810515608	2.59080365969	3.52261244289	1.94232306881	3.10092686598
11	4557823704	2	1.05416397163	2.32868564075	3.20159993966	1.18783315179	0.323808024499
11	4772552705	2	-0.606481386587	2.06453086877	2.80786924725	1.1188229751	0.0156339065863
11	4997398058	2	1.69957950833	1.80460965771	2.34316690379	1.56690539614	1.92861373926
11	5232836365	2	3.71535191175	1.55636191779	1.81932436026	2.19674396774	2.85074069686
11	5479366683	2	2.51438015586	1.32809492216	1.25921722455	2.65873757848	2.91210787523
11	5737511582	2	1.38239716395	1.12859789139	0.695907433209	2.6723781097	2.5748762107
11	6007818249	2	2.95143261328	0.966691985969	0.169973043746	2.0791724724	1.50519428863
11	6290859651	2	0.611600814266	0.850738778812	-0.27462854064	0.915754442988	0.715435688887
11	6587235751	2	0.551548119577	0.788133605267	-0.595548429733	-0.530921351593	-0.119623131343
11	6897574775	2	-1.1156509723	0.784812093482	-0.75712208354	-1.7848829298	-1.73332525708
11	7222534545	2	-2.54288674226	0.844798561952	-0.734767757173	-2.38808260029	-2.34818088387
11	7562803878	2	-1.11163507634	0.969823783492	-0.518078036592	-2.1365701753	-1.71158662078
11	7919104041	2	-1.57517892134	1.15903684483	-0.112214498199	-1.1679603238	-1.53771453748
11	8292190280	2	-1.31672102808	1.40883163318	0.462494489107	0.167781470952	-0.721291672461
11	8682853425	2	2.18330372843	1.71280303667	1.17257186046	1.53621094855	1.8477402297
11	9091921561	2	2.84494130099	2.06184150102	1.97462572116	2.75308215597	3.7671211056
11	9520261788	2	3.81956438331	2.44436752473	2.81927696759	3.75049896347	3.7870123982
11	9968782056	2	4.75932490953	2.8467002807	3.65524538275	4.48050869237	3.77117498718
11	10000000000	2	3.58512498979	2.8743693093	3.71044991338	4.51914389792	3.80632879386
11	10438433091	2	4.10488013367	3.25354730953	4.4331415497	4.90808955137	4.58114678363
11	10930210409	2	5.89213955389	3.64859544624	5.10865767249	5.10385807377	5.28301703091
11	11445156427	2	6.13756863536	4.01517725179	5.64501631961	5.28312560967	5.58585108611
11	11984362674	2	4.72730837327	4.33698251448	6.0146795889	5.66027264899	5.88526879461
11	12548972102	2	8.15351007057	4.59878116088	6.20041067654	6.20337151139	6.16272481868
11	13000000000	2	5.4841436169	4.75043121139	6.21382108714	6.51400009334	6.27629760703
11	13140181510	2	5.85163404592	4.78712237466	6.19580186841	6.5522598462	6.29348683823
11	13759244080	2	6.65322996108	4.89097495228	6.00534470794	6.26940646048	6.14406762796
11	14407472037	2	5.54223231167	4.90227598328	5.64404456002	5.26551881364	5.23086159668
11	15086239424	2	3.58159685711	4.81635873232	5.13650835644	4.00021322401	3.92308024389
11	15796985021	2	4.29356527754	4.63223596965	4.51539667601	3.19308322213	3.55007058905
11	16541215392	2	5.3218878227	4.35272168049	3.81915527645	3.22617325742	3.82325732625
11	17320508076	2	4.52130319947	3.98438177558	3.08903450407	3.76283659773	3.37619264742
11	18136514935	2	1.91534737207	3.53731272102	2.365554045	3.97721260556	2.88378479554
11	18990965656	2	4.11834828196	3.02475551643	1.68474208324	3.24745666979	3.28566790761
11	19885671410	2	4.6697874114	2.46256071981	1.07462647005	1.70673860035	2.93230036861
11	20822528702	2	1.65310577859	1.86852779934	0.552533918883	0.134447069488	0.593067333605
11	21803523380	2	-1.66698441816	1.2616486754	0.123725180891	-0.731837099729	-1.66668979641
11	22830734855	2	-2.13101848205	0.661290396135	-0.218255768491	-0.826077515772	-1.56100776434
11	23906340500	2	-0.412672508083	0.0863553831925	-0.489399721625	-0.7250210953	-0.252839143255
11	25032620269	2	-0.699158220461	-0.445540805983	-0.711427120821	-0.991713844306	-0.413318441055
11	26211961532	2	-1.92477626648	-0.918834653681	-0.906905386622	-1.55203179199	-1.71546602169
11	27446864129	2	-0.644154560381	-1.32068567283	-1.09410590542	-1.76080773278	-1.86527213085
11	28739945678	2	-0.0355125242197	-1.64152039997	-1.28255904975	-1.13856756081	-1.00667814003
11	30093947115	2	0.794164507694	-1.8754225334	-1.4702306059	-0.050648832169	-0.396143574985
11	31511738509	2	0.669993699713	-2.02034975548	-1.64301885024	0.423234470395	0.206806041739
11	32996325143	2	0.0279997778782	-2.07816616304	-1.77688375833	-0.565440977336	-0.070238104381
11	34550853887	2	-2.7767123219	-2.05448825566	-1.84243065871	-2.70308673389	-2.56423238726
11	36178619865	2	-4.35985112849	-1.95835160582	-1.8112689463	-4.52694236818	-4.88857246775
11	37883073445	2	-4.68794707035	-1.80171421231	-1.66305163145	-4.51018715077	-4.27101606182
11	39667827545	2	-2.92843953965	-1.59882066375	-1.391863687	-2.34737428499	-2.12802222553
11	41536665297	2	0.00719799433517	-1.36545819476	-1.0106282495	0.691620024022	-0.096389449937
11	43493548067	2	1.82293975592	-1.11814115507	-0.552458742202	2.70229803299	2.3697461979
11	45542623846	2	3.16826148719	-0.87326404191	-0.0683712954963	2.61272325672	3.81703168246
11	47688236048	2	2.58404095251	-0.646264878852	0.378591958739	0.940210282222	1.63437815685
11	49934932713	2	-0.412291203943	-0.450840280565	0.72210375886	-0.771819610263	-2.00890799313
11	52287476152	2	-3.81752399231	-0.29825102275	0.90284536944	-1.29045080409	-2.29726418458
11	54750853037	2	0.180698922473	-0.196752478296	0.878659770717	-0.619977671917	0.244757411121
11	57330284972	2	1.98435462101	-0.151178090929	0.632777786663	0.227411108779	1.15348294179
11	60031239563	2	0.511530806525	-0.16269645806	0.178559119236	0.290237904907	-0.00955330051757
11	62859442007	2	0.587097674144	-0.228753958244	-0.440285177474	-0.487189777506	-0.844610447535
11	65820887229	2	-0.840839864925	-0.34320562421	-1.15428456443	-1.3542301898	-1.51745354488
11	68921852585	2	-1.44872393076	-0.496627594929	-1.87708653559	-1.60982501072	-2.05274056389
11	72168911173	2	-2.27367256543	-0.676795453191	-2.51732728885	-1.32334324956	-0.987137233514
11	75568945763	2	-0.289756968726	-0.869304520984	-2.99164127212	-1.22425255586	-0.185858559718
11	79129163388	2	-1.59148470004	-1.05830116258	-3.23670407581	-1.91093109994	-2.14600079626
11	82857110620	2	-4.59139842933	-1.22728868355	-3.21831662278	-3.18447828492	-4.28967236511
11	86760689565	2	-2.73025903595	-1.35996778892	-2.93600524579	-4.16133361641	-4.12397502666
11	90848174617	2	-3.78808745925	-1.44106995285	-2.42235527494	-4.04446178508	-3.42283704458
11	95128229991	2	-1.38428686207	-1.45714253188	-1.73718627658	-2.80868578169	-2.75518357579
11	99609928097	2	-0.316144960011	-1.39724699553	-0.957557115413	-1.1713884311	-1.01359728167
11	100000000000	2	0.261111484532	-1.38838753711	-0.889661801915	-1.04229588785	-0.85427907506
11	104302768761	2	-1.37316785174	-1.25353611356	-0.165300512852	0.0744446635881	0.134697660387
11	109216699370	2	-0.485291055044	-1.02168209879	0.565799052761	0.700126129063	-0.176880878804
11	114362135953	2	0.37270689699	-0.701135237735	1.18102866786	1.07436241896	0.750686337498
11	119749985260	2	2.02934705573	-0.295201061789	1.65215458734	1.64041126906	2.89544954937
11	125391667883	2	4.03772442029	0.189066817073	1.98005367894	2.41625617695	2.99850101996
11	130000000000	2	1.69561926085	0.616798996917	2.15406472207	2.9221481354	2.00076058164
11	131299142461	2	1.63134409922	0.741151920913	2.19226259649	3.01437179177	1.83908393414
11	137484931034	2	2.52324910931	1.34752310321	2.33603474837	3.10851498553	2.42265529404
11	143962145579	2	4.05344484202	1.99222269361	2.46827048054	2.81949659144	3.51721267236
11	150744515809	2	2.51317193626	2.65756481236	2.64420138495	2.60581324498	3.17699859683
11	157846418272	2	2.82771378827	3.32490887902	2.90687562244	2.78711621202	2.75217698615
11	165282906828	2	3.07264417428	3.97546995654	3.27928370088	3.22353438315	2.94472423058
11	173069744557	2	3.04477624513	4.59112614702	3.76042886475	3.50973033004	3.00149925459
11	181223437172	2	3.33275561568	5.15518385806	4.32588886506	3.49016309353	3.40433624552
11	189761268004	2	4.90508195813	5.65306433432	4.93258154423	3.53706526725	4.19466062612
11	198701334642	2	5.20640711112	6.07287925373	5.52669202722	4.24592197611	4.65270470912
11	208062587291	2	4.40447217318	6.40586917755	6.0531826641	5.79755117628	5.46983819377
11	217864868942	2	6.88531418462	6.64668590235	6.46508232627	7.61575952143	7.02031430367
11	228128957430	2	7.81974989337	6.79350789936	6.73087203023	8.71497870952	8.42289919183
11	238876609483	2	8.62979208679	6.84798662258	6.83871566103	8.48507639744	9.0950793753
11	250130606832	2	8.755228015	6.81503006954	6.79693576176	7.21869578631	8.04637989389
11	261914804507	2	5.41159273756	6.70243814889	6.63087333738	5.88671683299	5.4190596582
11	274254181402	2	4.49807571623	6.52041172447	6.37695243812	5.33881327959	4.37492695151
11	287174893217	2	7.60798466703	6.28096330071	6.07526502141	5.62788205552	5.87288350648
11	300704327907	2	4.89630333221	5.99726188076	5.76220925298	6.04570210491	6.71601389498
11	314871163733	2	8.24175596311	5.68294734936	5.4646215983	5.81785510028	5.77109053345
11	329705430050	2	5.63823810356	5.35145067309	5.19646822772	4.82587310406	4.60649352433
11	345238570962	2	4.58489098642	5.01535524422	4.95858776197	3.72168712076	3.6642664212
11	361503511974	2	3.74602513688	4.6858318888	4.74132583618	3.35427740748	3.31730539388
11	378534729783	2	5.42549477821	4.37217557889	4.52930560015	4.02644136331	4.11032760908
11	396368325357	2	4.53578639437	4.08146598466	4.3071562741	5.21831897771	5.1753192834
11	415042100460	2	6.52308397021	3.81836699753	4.06485590746	5.98554618964	5.87165065062
11	434595637780	2	6.04741689124	3.58507262819	3.8014631079	5.67275208046	5.95117884934
11	455070384831	2	5.23472935185	3.38139864804	3.52638638136	4.36459188224	4.55995124952
11	476509741809	2	2.27568679735	3.20501142378	3.25788841103	2.76541177905	2.43483809151
11	498959153590	2	2.15678384714	3.05177801228	3.01913140986	1.67152936157	1.42116669916
11	522466206056	2	0.321399641943	2.9162151207	2.83261308745	1.47015256796	1.47798624972
11	547080726961	2	2.69676032603	2.79200933158	2.71420967465	1.99432983986	2.09451162083
11	572854891558	2	3.57815169738	2.67257731142	2.66815820406	2.74435372208	3.29201480294
11	599843333185	2	3.73483392483	2.55163274916	2.68415115942	3.2431992869	3.61275347972
11	628103259078	2	1.69536733785	2.42372660305	2.73731414898	3.28057992376	2.32958569873
11	657694571630	2	3.28261908856	2.28472886943	2.79127127381	2.94860303978	1.92025267701
11	688679995367	2	4.06078317001	2.13222343049	2.80388532232	2.51785878149	3.38874036428
11	721125209903	2	2.27257763019	1.96579240443	2.73471254508	2.25518263572	3.74693444735
11	755098989162	2	4.16815236893	1.78717254831	2.55284202558	2.26898353999	1.97388375826
11	790673347157	2	-0.423020617585	1.60027332249	2.24366994124	2.44355275304	1.08823168079
11	827923690639	2	2.06049430924	1.4110538404	1.81331290941	2.4989301446	2.0600616697
11	866928978933	2	4.30735032734	1.22726369563	1.28976302394	2.15968416657	2.6836831811
11	907771891314	2	0.0430597293388	1.05806017108	0.720454652468	1.34088093496	2.20515694275
11	950539002253	2	1.41839851042	0.913521196794	0.166543010651	0.225994053853	0.863442160276
11	995320964936	2	-0.483488196369	0.804079276885	-0.305229807605	-0.826130715263	-1.51681362424
11	1000000000000	2	-0.529686674792	0.79530535925	-0.346118678024	-0.915352701872	-1.76158356126
11	1042212703416	2	-3.55443184696	0.739906144703	-0.631788840635	-1.4820429299	-2.9807431488
11	1091313613827	2	-0.372794714434	0.730280895171	-0.762622677606	-1.59600785169	-1.61094806471
11	1142727775070	2	0.619968943615	0.782975628009	-0.66691949726	-1.22708098233	0.362808519939
11	1196564169430	2	0.722035840294	0.903692150328	-0.337854506285	-0.531387929469	0.346069138912
11	1252936913585	2	-0.5716406711	1.09558105722	0.206568501546	0.354548366204	-0.580147276503
11	1300000000000	2	0.406838271256	1.30087334275	0.771511036872	1.1432596994	-0.372482660753
11	1311965500497	2	-0.713026007981	1.35887064983	0.926144418436	1.34549531509	-0.0981077661115
11	1373775052704	2	1.85086877446	1.69062786077	1.76403224451	2.36484556028	2.38614645398
11	1438496587537	2	5.98931018016	2.0846669078	2.65429032429	3.31090151639	4.75361077996
11	1506267294840	2	3.32795501788	2.53161411755	3.53016066752	4.0850981089	4.65224910939
11	1577230827771	2	5.16277072607	3.01912962268	4.33184632283	4.64763519151	3.71984740398
11	1651537607297	2	4.74139363714	3.53227882914	5.01269835841	5.02793325924	4.46470341604
11	1729345141047	2	4.03060180601	4.05403907032	5.54306367461	5.27350596299	5.49991172763
11	1810818357179	2	6.74416887003	4.56592008492	5.91147044302	5.40207737095	5.54852573004
11	1896129953972	2	6.84351155616	5.04867121523	6.12326319608	5.42427159531	5.6848789018
11	1985460765900	2	6.60100915927	5.48304380355	6.19716934263	5.4138224248	5.69039588517
11	2079000146941	2	6.10839429044	5.85057438337	6.16052779449	5.52139953472	5.23084955841
11	2176946371954	2	4.89159428254	6.13435305436	6.04401147305	5.86576504208	5.44274246441
11	2279507056955	2	7.09054631804	6.31974194904	5.87663225941	6.37549634028	6.27755902021
11	2386899599205	2	6.80020753441	6.3950109089	5.68165924812	6.75100119854	7.0677656711
11	2499351638022	2	7.59950391542	6.35186127088	5.47385573084	6.64288809799	7.28341764416
11	2617101537311	2	6.70081269514	6.18581382592	5.25819903623	5.9387913499	5.75208499291
11	2740398890815	2	4.12732509481	5.89644328764	5.03003544806	4.9091820663	3.87430531506
11	2869505051187	2	4.29423605251	5.48744868742	4.77646968625	4.04565467701	4.26636491908
11	3004693683969	2	5.60052774248	4.96655664043	4.47870483852	3.68794610519	4.81274545438
11	3146251347683	2	2.92482490711	4.34526203879	4.11502530148	3.74497233224	3.3334227557
11	3294478101250	2	2.60495173592	3.63841805333	3.66413009549	3.76186195945	2.80525367657
11	3449688140017	2	3.8437308091	2.86369401589	3.10854998729	3.29474154791	3.90133955921
11	3612210461760	2	3.71037651043	2.04092549689	2.43789672292	2.28108605588	2.97075426641
11	3782389564056	2	0.794903939718	1.19138542576	1.65168559964	1.08794564375	0.41362054394
11	3960586174514	2	0.742777408839	0.337008225689	0.761448156749	0.196142108474	-0.260786928844
