x,split,A_minus_1_binary64,A_minus_1_decimal80,binary_decimal_sign_agree,mertens_x
230000,discovery,-102.84737009997239,-102.84737009997240097068677545776850733629389652246485490727275551881018860028736,True,-130
240000,discovery,-4.8682376428792864,-4.8682376428792984134758091569340314257840785534339572506196772422430624005452852,True,-24
250000,discovery,-56.535343686853061,-56.535343686853074954528544174411246496243543352828720199973367681212515247835932,True,-39
260000,discovery,-19.833915920729812,-19.833915920729827691532430550987043455039514251000516087615853554049880568001140,True,-9
270000,discovery,-55.387725447296859,-55.387725447296871363661713777241583940913444844766100503510498534389410407319227,True,-50
280000,discovery,-11.646980510415196,-11.646980510415204095046525641208700283934936083784049665348600839840359948304819,True,48
290000,discovery,28.111549828288414,28.111549828288403452771607872565578947391503691493295607139578326500661508858007,True,100
300000,discovery,141.36808970929746,141.36808970929744772673575235479081146484434510175138319995370207902255835475139,True,220
310000,discovery,81.760770161141849,81.760770161141834533554497422827078025092677832673703004599492514833977955763591,True,163
320000,discovery,4.6213560938824996,4.6213560938824839895773108908762803920546342874198651300850339008845672860867140,True,73
330000,discovery,-86.098001569610332,-86.098001569610348355171907508240260042662897631398163512980637138940476414587386,True,-81
340000,discovery,-105.77265483350016,-105.77265483350016372113816609577742099435616742537637448465905807427488569083805,True,-158
350000,discovery,-159.10916734726183,-159.10916734726184458425051598274379418137053086287529732721222671346431882203052,True,-221
360000,discovery,-128.85723807599135,-128.85723807599137620202899976636724666767086539924245166238323625508724852324826,True,-164
370000,discovery,-69.388837343328802,-69.388837343328817944885313709634738262124090649475443849794351910082094578149063,True,-90
380000,discovery,2.6439264025615254,2.6439264025615081872448220408846656426139915706705101774532020645525729814230803,True,27
390000,discovery,24.397610545377084,24.397610545377066578908432355584408456375799577726779978437753866410715428141437,True,60
400000,discovery,-32.048762635471384,-32.048762635471401947507357444592063379360502827592422462810147613112560806169124,True,11
410000,discovery,58.539686965721181,58.539686965721167322122836627291655041691593129361879288181265605459477563274736,True,85
420000,discovery,55.542978078066795,55.542978078066785392056837728061951027765597638907662788022808424891092474926749,True,140
430000,discovery,16.424463178802139,16.424463178802126968499220866059433011260015357216614332451919154794472713644356,True,54
440000,discovery,-39.551789805024335,-39.551789805024352529473779284070597855852632227113492707999938976665252679520058,True,-2
450000,discovery,-4.7816640984451322,-4.7816640984451474893656037172340938162304944765786951302344056076138748755783103,True,52
460000,discovery,73.068771974671748,73.068771974671735157008890394676812233904252309423760356387839975433658809793044,True,170
470000,discovery,64.879828537070964,64.879828537070940756817272630912150213224800196751841175183253061557880265149693,True,129
480000,discovery,-4.8842250513590635,-4.8842250513590779392394257247418294025729251654638720510715655088006352866673046,True,45
490000,discovery,-14.114741530052873,-14.114741530052882796857537079792817062410742191464818931699239214898085943789665,True,14
500000,discovery,-39.867457445933361,-39.867457445933364498608365601298836479216926937356825150169374827771915096248189,True,-6
510000,discovery,-60.738641096306701,-60.738641096306712118574707449695963086456920424563961542716178261705139966235931,True,-56
