q	x	a	E_observed	E_K25	E_K50	E_K100
19	13000000000	2	-1.83458390938	-1.18970947859	-2.28220177361	-2.2272258024
19	13140181510	2	-1.37927018533	-1.22088928321	-1.64356984033	-2.12116836291
19	13759244080	2	2.29987213372	-0.401917835469	-0.144521611956	0.518236992301
19	14407472037	2	-0.273603873614	-0.477747441873	-0.387852203927	-0.590903641265
19	15086239424	2	-0.597632464383	-1.47682765428	-1.49414381416	-1.58968185026
19	15796985021	2	0.0100893178846	-1.51677828758	-1.94406087729	-1.20386379016
19	16541215392	2	-1.3007432939	-1.70326053827	-0.991357270851	-2.08885671345
19	17320508076	2	-1.8088795447	-3.15831211806	-3.71762009721	-2.79444056198
19	18136514935	2	-4.80204948282	-3.93321672687	-3.68058818487	-3.81784816907
19	18990965656	2	-4.38351632813	-2.76394919728	-2.92937434519	-3.68125059294
19	19885671410	2	-0.40560054866	-0.795230706683	-0.579653287274	-0.59767942674
19	20822528702	2	2.19909171104	1.2481359083	1.25276935513	2.17059420672
19	21803523380	2	2.05455023453	3.20562968596	2.59311910702	2.34562331942
19	22830734855	2	4.7734813998	3.93199871667	5.11204185493	4.63531050687
19	23906340500	2	1.57186494652	2.81476847577	1.61068523959	1.72300216144
19	25032620269	2	0.672826287483	1.41008326613	2.11369618273	1.86187999026
19	26211961532	2	2.63245382219	1.67994346867	1.50469066385	2.47076031681
19	27446864129	2	1.50679938381	3.38436278017	3.35871558015	2.78364695805
19	28739945678	2	4.82487359058	4.40184875325	4.468199737	4.69911691217
19	30093947115	2	4.79669799323	3.68629531468	3.39821449659	3.50506040391
19	31511738509	2	2.93898455838	2.56765779678	3.17375511439	2.99258512319
19	32996325143	2	2.68557869535	2.67584577913	2.1803332796	1.69613370812
19	34550853887	2	4.60566105861	4.33433288716	3.99098061584	4.22874466229
19	36178619865	2	8.4390152714	6.60212281519	8.06394914611	8.12163957281
19	37883073445	2	6.64296867028	7.02095011148	5.01376696606	4.82900027096
19	39667827545	2	7.26718615466	4.01732451219	5.6336999627	6.19868187497
19	41536665297	2	0.47290822782	0.910865390993	0.0886129373617	-0.55203890862
19	43493548067	2	3.29609120042	1.94490723461	2.40355539705	2.76256341799
19	45542623846	2	4.52503640647	4.69010911411	3.96237367944	3.89180996894
19	47688236048	2	6.71850647653	4.55881349709	5.570877169	5.87208118332
19	49934932713	2	3.3117787029	3.69154127687	3.04349740525	3.07276799544
19	52287476152	2	7.09690338112	5.83545119866	5.57918369835	5.4435918788
19	54750853037	2	9.27270786375	8.71455056964	9.63932813538	9.68635468954
19	57330284972	2	9.89797740312	10.1622349933	9.35713325775	9.16045641945
19	60031239563	2	12.9817402305	12.4479008468	12.6310078195	12.0694133674
19	62859442007	2	15.6142196627	14.515605642	14.7110075223	14.7841716712
19	65820887229	2	10.3603899477	11.5479310579	11.5375117025	11.3018245195
19	68921852585	2	6.14452870318	5.12010049338	4.80166066838	5.47313741223
19	72168911173	2	4.26683554789	2.15398177334	2.39392139298	2.86541444332
19	75568945763	2	4.94500336251	3.85652299143	4.05281705476	4.35511729161
19	79129163388	2	6.56755065117	5.24257589222	4.82161501994	5.58494322917
19	82857110620	2	3.31398177672	3.76823649698	3.89922883677	2.60791688517
19	86760689565	2	2.44261132543	2.07467716576	2.32716026088	1.6844090632
19	90848174617	2	2.66413470283	3.39634695897	3.29870090995	2.36655530251
19	95128229991	2	6.92487658672	6.70380268051	6.13957909733	6.38573605775
19	99609928097	2	10.8713746325	7.66277038508	8.61501754795	9.63297868116
19	100000000000	2	10.4322848581	7.55594235441	8.48923857076	9.13028286322
19	104302768761	2	6.96686293477	5.29267364293	4.83918787183	6.25364647831
19	109216699370	2	2.19419236139	3.36524363278	2.8258921273	1.469443094
19	114362135953	2	4.70694928453	3.35086320388	4.32080749944	4.13221163324
19	119749985260	2	2.15613517545	3.31568677325	2.97406797654	3.53395904423
19	125391667883	2	3.42286450857	4.05971346178	3.43643111245	3.11458924212
19	130000000000	2	6.30353025511	6.2644820015	6.96836281886	6.9880480832
19	131299142461	2	7.67233352578	6.96154573827	7.71936712735	8.12925337138
19	137484931034	2	8.44748941119	8.78727019159	8.96101849234	8.44666858256
19	143962145579	2	7.84591446817	7.84192930585	6.71999858491	7.13928069889
19	150744515809	2	9.6989476909	7.98105635886	8.88095900707	8.45369600177
19	157846418272	2	11.5512465203	9.6688977937	10.1255805877	10.3489989539
19	165282906828	2	5.88529537997	8.21702729984	6.52713847118	5.8124517449
19	173069744557	2	6.36510629548	4.31943265621	6.00012466345	5.91011520111
19	181223437172	2	4.36357759744	3.64476381548	3.03745918503	3.64546543136
19	189761268004	2	7.75608632816	6.41380011227	6.03863198771	6.7719369358
19	198701334642	2	9.35052275002	8.44160223585	8.89898166637	8.35865277906
19	208062587291	2	10.5217121088	8.32445257564	8.39768285087	8.11194224119
19	217864868942	2	7.92946564846	6.43674881784	6.02134495448	6.23578884476
19	228128957430	2	4.87583116732	3.45419149404	3.75421414925	3.56805574721
19	238876609483	2	5.69569494	2.21373780722	2.03019013495	2.68513641614
19	250130606832	2	5.20653741751	4.3020910559	4.76558680234	4.79756102209
19	261914804507	2	5.17466217267	7.044395125	6.21019678632	5.61878906208
19	274254181402	2	9.62731031259	8.19863018184	8.84696228824	8.56384187261
19	287174893217	2	8.09007478455	7.94149347329	8.13772355466	8.53492089806
19	300704327907	2	6.28619993123	5.86385608582	4.8559154483	4.65630475835
19	314871163733	2	4.18438498594	3.17618719737	4.21020780701	3.86971614648
19	329705430050	2	5.01663239865	3.85564771426	3.57369873155	3.56072834651
19	345238570962	2	8.24792045972	7.27585858185	6.73174637242	7.71501817924
19	361503511974	2	10.0509267143	7.63623688501	8.48389194805	8.36477146235
19	378534729783	2	4.77258083109	4.44526747667	3.76811585373	2.9657157893
19	396368325357	2	2.69143969627	2.93999144309	3.36952757907	3.22917268178
19	415042100460	2	5.87040185268	3.60476370022	3.36172404701	4.55170723531
19	434595637780	2	4.1472182625	2.92965600816	2.8437883294	2.79924650074
19	455070384831	2	2.34506324716	2.23804038055	2.86485880558	2.19561070592
19	476509741809	2	5.87159914992	4.82312280418	3.79203436828	4.72196398785
19	498959153590	2	9.36439244126	8.38099007032	9.28815183816	8.95595500066
19	522466206056	2	6.71781244629	8.96167119532	8.58009502386	7.12263509228
19	547080726961	2	6.96158811968	7.58252031252	7.63467210808	7.58825608903
19	572854891558	2	8.17720161972	7.06893513118	6.76632075373	7.66666197344
19	599843333185	2	7.91647528338	7.27076876145	8.07907335321	8.23057118576
19	628103259078	2	7.43541634029	7.03766507784	6.152801283	5.53414485318
19	657694571630	2	9.62136560823	6.74831447715	7.05102088732	8.05860110545
