p,M,M_over_sqrtp,A_raw,B_raw,C_raw,N_raw,NA,CA,BA,margin,deltaW_sign
13,-3,-0.832050,2.3024920942e+01,7.0389610390e-01,5.8709956710e+00,2.5692307692e+01,1.1158478136,0.2549844008,0.0305710541,0.4014032686,-1
19,-3,-0.688247,6.3227349540e+01,4.2687004172e+00,1.2859392079e+01,7.4684210526e+01,1.1812010320,0.2033833803,0.0675135119,0.4520979242,-1
31,-4,-0.718421,2.1055521867e+02,6.2005757970e+01,3.9849403788e+01,2.3074193548e+02,1.0958737425,0.1892586849,0.2944869206,0.5796193480,-1
43,-3,-0.457496,4.5315548799e+02,1.1206162775e+02,8.2794939490e+01,4.8946511628e+02,1.0801262023,0.1827075732,0.2472917811,0.5101255566,-1
47,-3,-0.437595,5.5766289955e+02,1.3648290546e+02,8.7396811888e+01,6.1261702128e+02,1.0985436216,0.1567197889,0.2447408741,0.5000042845,-1
53,-3,-0.412082,7.3417144781e+02,1.6961198251e+02,1.2117345991e+02,8.0298113208e+02,1.0937242717,0.1650479057,0.2310250324,0.4897972098,-1
71,-3,-0.356034,1.3877497503e+03,3.9477487014e+02,2.1716328192e+02,1.4974225352e+03,1.0790292233,0.1564859096,0.2844712241,0.5199863570,-1
73,-4,-0.468165,1.5411760260e+03,7.3040519853e+02,2.6102579265e+02,1.5434520548e+03,1.0014768130,0.1693679296,0.4739271739,0.6447719165,-1
79,-4,-0.450035,1.7913816299e+03,7.0534533302e+02,2.7522623908e+02,1.8737341772e+03,1.0459715261,0.1536390876,0.3937437569,0.5933543706,-1
83,-4,-0.439057,2.0638077039e+03,8.6757971794e+02,2.9864994893e+02,2.2037951807e+03,1.0678297094,0.1447082247,0.4203781759,0.6329161100,-1
107,-3,-0.290021,3.5401874378e+03,1.4679869677e+03,5.0839138217e+02,3.7224205607e+03,1.0514755578,0.1436057811,0.4146636283,0.6097449671,-1
109,-4,-0.383131,3.8231245452e+03,2.1076772863e+03,5.7160030633e+02,3.9116880734e+03,1.0231652218,0.1495112962,0.5512970507,0.7239735688,-1
113,-5,-0.470360,4.1568073175e+03,2.7282042628e+03,6.1789857803e+02,4.1856991150e+03,1.0069504779,0.1486473947,0.6563220410,0.8119199137,-1
131,-3,-0.262111,5.5263603529e+03,2.2241572958e+03,8.0664694270e+02,5.6532137405e+03,1.0229542374,0.1459635078,0.4024633129,0.5713810581,-1
139,-4,-0.339276,6.3092493307e+03,3.3870557045e+03,8.9719820655e+02,6.5036762590e+03,1.0308161745,0.1422036378,0.5368397296,0.7098595419,-1
173,-3,-0.228086,1.0009849481e+04,5.0084143683e+03,1.4369211632e+03,1.0140104046e+04,1.0130126398,0.1435507263,0.5003486194,0.6569119855,-1
179,-3,-0.224231,1.0708082752e+04,5.0642284424e+03,1.4687302963e+03,1.1164106145e+04,1.0425868387,0.1371609027,0.4729351238,0.6526828653,-1
181,-4,-0.297318,1.1227907147e+04,7.0934588186e+03,1.6183588706e+03,1.1263878453e+04,1.0032037409,0.1441371797,0.6317703491,0.7791112698,-1
191,-5,-0.361787,1.2119443762e+04,6.7099582951e+03,1.7277978844e+03,1.2412654450e+04,1.0241934114,0.1425641241,0.5536523315,0.7204098670,-1
193,-6,-0.431889,1.2717988003e+04,8.8430231276e+03,1.8617809049e+03,1.2648393782e+04,0.9945278907,0.1463895786,0.6953162029,0.8362336722,-1
197,-7,-0.498729,1.3475858223e+04,1.0704410508e+04,1.8482637081e+03,1.3780517766e+04,1.0226078026,0.1371536920,0.7943397986,0.9541012933,-1
199,-8,-0.567105,1.4206788402e+04,1.3064397939e+04,1.8948220120e+03,1.4372989950e+04,1.0116987417,0.1333744094,0.9195884087,1.0646615597,-1
271,-3,-0.182237,2.5908054486e+04,1.4530402162e+04,3.6447746927e+03,2.6356298893e+04,1.0173013534,0.1406811420,0.5608449747,0.7188274701,-1
277,-4,-0.240337,2.6914975377e+04,1.9320324872e+04,3.7801696616e+03,2.7130620939e+04,1.0080121032,0.1404485647,0.7178280716,0.8662887396,-1
281,-4,-0.238620,2.8271151968e+04,2.1719535188e+04,3.9598970589e+03,2.7805750890e+04,0.9835379514,0.1400684720,0.7682578769,0.8918643003,-1
283,-6,-0.356663,2.9400021907e+04,2.6308838889e+04,3.9210768384e+03,2.9814187279e+04,1.0140872471,0.1333698611,0.8948577988,1.0423149070,-1
293,-8,-0.467365,3.1433690783e+04,2.9598676814e+04,4.1359916146e+03,3.2176539249e+04,1.0236322381,0.1315783006,0.9416227009,1.0968332396,-1
311,-3,-0.170114,3.3931879671e+04,1.9185331733e+04,4.6943995089e+03,3.4304659164e+04,1.0109861138,0.1383477589,0.5654072783,0.7147411511,-1
313,-4,-0.226093,3.4965104593e+04,2.4766755577e+04,4.8983499742e+03,3.4947514377e+04,0.9994969208,0.1400925303,0.7083277990,0.8479172501,-1
317,-4,-0.224662,3.6395436942e+04,2.6592125784e+04,4.9183013103e+03,3.7103880126e+04,1.0194651650,0.1351351082,0.7306444988,0.8852447720,-1
379,-3,-0.154100,5.1396279834e+04,3.3361750172e+04,7.1212613723e+03,5.1738118734e+04,1.0066510436,0.1385559693,0.6491082677,0.7943152807,-1
389,-3,-0.152106,5.5082686330e+04,3.9502511112e+04,7.3967757297e+03,5.5987820051e+04,1.0164322727,0.1342849491,0.7171493212,0.8678665430,-1
431,-3,-0.144505,6.6696304572e+04,3.4659084089e+04,9.0616058231e+03,6.8033060325e+04,1.0200424261,0.1358636866,0.5196552389,0.6755613516,-1
433,-4,-0.192228,6.8052689366e+04,4.5090223462e+04,9.3415507893e+03,6.8245792148e+04,1.0028375481,0.1372693846,0.6625781271,0.8026850598,-1
439,-7,-0.334092,7.0782534861e+04,5.7097057244e+04,9.4456321608e+03,7.0759182232e+04,0.9996700792,0.1334458024,0.8066545986,0.9397704802,-1
443,-9,-0.427603,7.2927123651e+04,7.2429154739e+04,9.7052238054e+03,7.2943627540e+04,1.0002263066,0.1330811270,0.9931716913,1.1264791249,-1
449,-7,-0.330350,7.4274224617e+04,6.6071572373e+04,9.9597497970e+03,7.4775198218e+04,1.0067449186,0.1340942951,0.8895626001,1.0304018139,-1
457,-6,-0.280668,7.6768061886e+04,6.2648831301e+04,1.0453318052e+04,7.6939063457e+04,1.0022275093,0.1361675389,0.8160793664,0.9544744145,-1
461,-6,-0.279448,7.8247212110e+04,6.9907550090e+04,1.0486516451e+04,7.9111284165e+04,1.0110428478,0.1340177646,0.8934190523,1.0384796647,-1
463,-6,-0.278844,7.9874018510e+04,7.9142884283e+04,1.0726367940e+04,7.9559112311e+04,0.9960574639,0.1342910766,0.9908464074,1.1211949479,-1
467,-7,-0.323921,8.2463128895e+04,8.9601338431e+04,1.0641852518e+04,8.3363321199e+04,1.0109163006,0.1290498270,1.0865624387,1.2265285663,-1
479,-6,-0.274147,8.5043632786e+04,7.7969349178e+04,1.1115695163e+04,8.6692461378e+04,1.0193880310,0.1307057895,0.9168158347,1.0669096552,-1
487,-5,-0.226572,8.7330067551e+04,7.4009116808e+04,1.1717307483e+04,8.7777143737e+04,1.0051193844,0.1341726602,0.8474643257,0.9867563703,-1
491,-5,-0.225647,8.9330834787e+04,7.7795196546e+04,1.2007985378e+04,9.0094580448e+04,1.0085496309,0.1344215064,0.8708661095,1.0138372467,-1
499,-6,-0.268597,9.1463026524e+04,8.4595783347e+04,1.2289924935e+04,9.1940390782e+04,1.0052192047,0.1343704161,0.9249178227,1.0645074435,-1
503,-5,-0.222939,9.3974431198e+04,8.2074124022e+04,1.2290302590e+04,9.5947827038e+04,1.0209992847,0.1307834741,0.8733665421,1.0251493010,-1
509,-6,-0.265945,9.6228530285e+04,8.9239611410e+04,1.2689331663e+04,9.7777442043e+04,1.0160961801,0.1318666265,0.9273716552,1.0753344619,-1
523,-3,-0.131181,1.0156396953e+05,7.8765719287e+04,1.3739147826e+04,1.0121170746e+05,0.9965316236,0.1352758059,0.7755281686,0.9073355980,-1
617,-3,-0.120775,1.4132018464e+05,1.1200532162e+05,1.9056496187e+04,1.4240250891e+05,1.0076586672,0.1348462446,0.7925642179,0.9350691298,-1
619,-5,-0.200967,1.4377263886e+05,1.3873500532e+05,1.9066403782e+04,1.4414959451e+05,1.0026218873,0.1326149672,0.9649611110,1.1001979654,-1
631,-3,-0.119428,1.4826672294e+05,1.1943380033e+05,2.0184264169e+04,1.4631139937e+05,0.9868121212,0.1361348236,0.8055334196,0.9284803643,-1
643,-4,-0.157745,1.5489945969e+05,1.3141390845e+05,2.0418761079e+04,1.5639106532e+05,1.0096295083,0.1318194468,0.8483819680,0.9898309230,-1
647,-7,-0.275198,1.5825828247e+05,1.7826508447e+05,2.0681304237e+04,1.5983607573e+05,1.0099697358,0.1306807070,1.1264186726,1.2670691153,-1
653,-8,-0.313064,1.6153316599e+05,1.9425810273e+05,2.1237792367e+04,1.6050995100e+05,0.9936656043,0.1314763580,1.2025895830,1.3277315453,-1
659,-10,-0.389545,1.6644479222e+05,2.1027689715e+05,2.1388588599e+04,1.6715233839e+05,1.0042509361,0.1285026003,1.2633432043,1.3960967406,-1
661,-11,-0.427850,1.6963636964e+05,2.3368949452e+05,2.1915718957e+04,1.6620616944e+05,0.9797790992,0.1291923365,1.3775907549,1.4865621907,-1
673,-11,-0.424019,1.7322670501e+05,2.2967084157e+05,2.2873175848e+04,1.6936561070e+05,0.9777107444,0.1320418572,1.3258396940,1.4355922956,-1
677,-11,-0.422764,1.7663765806e+05,2.4187687100e+05,2.2969909383e+04,1.7379713146e+05,0.9839189070,0.1300397075,1.3693392091,1.4832978236,-1
683,-12,-0.459167,1.8047042875e+05,2.5287044726e+05,2.3129409198e+04,1.7911287116e+05,0.9924776729,0.1281617679,1.4011738599,1.5218133007,-1
691,-9,-0.342376,1.8211175515e+05,2.1976050203e+05,2.3931421521e+04,1.8116883213e+05,0.9948222836,0.1314106357,1.2067343036,1.3329672229,-1
701,-5,-0.188847,1.8553515851e+05,1.6782893226e+05,2.4459992258e+04,1.8577796006e+05,1.0013086552,0.1318348094,0.9045667334,1.0377101980,-1
709,-4,-0.150223,1.8830679500e+05,1.5776390175e+05,2.4998262373e+04,1.8886946968e+05,1.0029880742,0.1327528429,0.8378024900,0.9735434071,-1
719,-3,-0.111881,1.9267520560e+05,1.3693724827e+05,2.5319449234e+04,1.9624835744e+05,1.0185449489,0.1314100024,0.7107154646,0.8606704160,-1
733,-3,-0.110808,2.0104264454e+05,1.3993729372e+05,2.6796222805e+04,2.0181297954e+05,1.0038316995,0.1332862631,0.6960577645,0.8331757270,-1
743,-5,-0.183432,2.0711328158e+05,1.9910017642e+05,2.7462671566e+04,2.0677973755e+05,0.9983895575,0.1325973465,0.9613105200,1.0922974240,-1
751,-3,-0.109472,2.1156730310e+05,1.7321268945e+05,2.8257360011e+04,2.1091949001e+05,0.9969380283,0.1335620372,0.8187119981,0.9492120637,-1
757,-3,-0.109037,2.1545847964e+05,1.7442016674e+05,2.8934550505e+04,2.1420526552e+05,0.9941835006,0.1342929299,0.8095302957,0.9380067262,-1
761,-4,-0.145000,2.1944679357e+05,2.1014169778e+05,2.9107601967e+04,2.1810422602e+05,0.9938820361,0.1326408169,0.9575974857,1.0841203388,-1
769,-3,-0.108183,2.2378565643e+05,1.8368513374e+05,2.9544975084e+04,2.2343189077e+05,0.9984191764,0.1320235423,0.8208083426,0.9512510613,-1
829,-3,-0.104194,2.5918933933e+05,2.0368260385e+05,3.4537069481e+04,2.6084919421e+05,1.0064040245,0.1332503473,0.7858448359,0.9254992078,-1
839,-3,-0.103572,2.6495496705e+05,2.0094497811e+05,3.4620612970e+04,2.6744445888e+05,1.0093959055,0.1306660273,0.7584118175,0.8984737503,-1
863,-3,-0.102121,2.8547490605e+05,2.7094438901e+05,3.6751781305e+04,2.8621496292e+05,1.0025923710,0.1287390959,0.9491005453,1.0804320122,-1
1031,-5,-0.155719,4.0551419178e+05,3.8646464485e+05,5.2994920611e+04,4.0697134530e+05,1.0035933478,0.1306857360,0.9530237232,1.0873028069,-1
1033,-6,-0.186681,4.1035803612e+05,4.4820528388e+05,5.3448120754e+04,4.0837427686e+05,0.9951657843,0.1302475303,1.0922298199,1.2176431345,-1
1039,-8,-0.248189,4.1517957704e+05,5.1949323402e+05,5.3720970519e+04,4.1460435515e+05,0.9986145227,0.1293921317,1.2512494900,1.3792561444,-1
1049,-5,-0.154377,4.2142775996e+05,4.4419776430e+05,5.4767112519e+04,4.2248325262e+05,1.0025045637,0.1299561104,1.0540306228,1.1864912969,-1
1051,-6,-0.185076,4.2627820473e+05,5.0071529612e+05,5.5719283100e+04,4.2355975928e+05,0.9936228373,0.1307110767,1.1746209179,1.2989548319,-1
1061,-5,-0.153501,4.3184166447e+05,4.5590403372e+05,5.6541096228e+04,4.3155044486e+05,0.9993256334,0.1309301554,1.0557203513,1.1859761401,-1
1063,-6,-0.184028,4.3633449848e+05,5.2069286563e+05,5.6537518234e+04,4.3551058231e+05,0.9981117327,0.1295737982,1.1933341678,1.3210196987,-1
1069,-8,-0.244682,4.4138828607e+05,6.0659506462e+05,5.7307577995e+04,4.3800682694e+05,0.9923390375,0.1298348411,1.3742889963,1.4964628748,-1
1087,-8,-0.242647,4.5088360792e+05,5.2111089661e+05,5.9038036256e+04,4.5198236707e+05,1.0024369020,0.1309385287,1.1557548056,1.2891302363,-1
1091,-10,-0.302752,4.5801100195e+05,6.0417689693e+05,5.9184334705e+04,4.6056150229e+05,1.0055686443,0.1292203341,1.3191318426,1.4539208210,-1
1093,-11,-0.332723,4.6444557842e+05,6.6942728310e+05,6.0441318202e+04,4.5319297530e+05,0.9757719663,0.1301364918,1.4413470904,1.5472555485,-1
1097,-12,-0.362308,4.7213399351e+05,7.1840206258e+05,6.0209856566e+04,4.7054858341e+05,0.9966420336,0.1275270525,1.5216063076,1.6457753937,-1
1103,-12,-0.361321,4.7862165304e+05,7.3277136918e+05,6.0739739369e+04,4.7533042339e+05,0.9931235254,0.1269055401,1.5310033813,1.6510324468,-1
1109,-15,-0.450428,4.9037569218e+05,8.5167685962e+05,6.1329089530e+04,4.8719740126e+05,0.9935186614,0.1250655171,1.7367844149,1.8553685934,-1
1117,-13,-0.388971,4.9069390932e+05,8.0836759439e+05,6.2702437706e+04,4.8484319248e+05,0.9880766467,0.1277831995,1.6473968375,1.7632566837,-1
1123,-12,-0.358089,4.9544627077e+05,7.9409224468e+05,6.3244099502e+04,4.8678659573e+05,0.9825214649,0.1276507731,1.6027817576,1.7129539956,-1
1129,-12,-0.357137,5.0246287634e+05,8.1495730461e+05,6.4001653348e+04,4.9396161559e+05,0.9830808182,0.1273758846,1.6219254058,1.7323821086,-1
1151,-6,-0.176853,5.0740915130e+05,4.7714632369e+05,6.6018136564e+04,5.0828849088e+05,1.0017329991,0.1301082891,0.9403581360,1.0721994241,-1
1153,-7,-0.206150,5.1249347263e+05,5.4945131583e+05,6.7237855736e+04,5.0756868690e+05,0.9903905396,0.1311974870,1.0721137833,1.1937018099,-1
1163,-6,-0.175939,5.2040082354e+05,4.8920594397e+05,6.7864888215e+04,5.1791333706e+05,0.9952200566,0.1304088794,0.9400560526,1.0656849886,-1
1171,-5,-0.146114,5.2730108862e+05,4.3914731245e+05,6.9105692643e+04,5.2246677284e+05,0.9908319632,0.1310554712,0.8328207962,0.9547082306,-1
1181,-6,-0.174593,5.3404937730e+05,4.6022018511e+05,7.0017524021e+04,5.3387688230e+05,0.9996770055,0.1311068358,0.8617558688,0.9925397101,-1
1187,-8,-0.232201,5.4141317911e+05,5.5411158822e+05,7.0217823446e+04,5.4203000084e+05,1.0011392810,0.1296935984,1.0234541928,1.1542870723,-1
1193,-6,-0.173712,5.4472833370e+05,4.8533797379e+05,7.1258154472e+04,5.4582321542e+05,1.0020099592,0.1308141142,0.8909725156,1.0237965890,-1
1201,-5,-0.144277,5.5200926292e+05,4.6284738563e+05,7.2832904122e+04,5.4787512739e+05,0.9925107497,0.1319414528,0.8384775704,0.9629297730,-1
1223,-3,-0.085784,5.6987259080e+05,4.5944177704e+05,7.4586036079e+04,5.6932845544e+05,0.9990451631,0.1308819503,0.8062184152,0.9361455286,-1
1237,-3,-0.085298,5.8919507898e+05,5.8091446424e+05,7.6754766128e+04,5.9237123848e+05,1.0053906755,0.1302705485,0.9859458861,1.1216071102,-1
1249,-3,-0.084887,5.9852372758e+05,5.3027446054e+05,7.8730442275e+04,5.9650451241e+05,0.9966263406,0.1315410545,0.8859706576,1.0141380528,-1
1499,-3,-0.077485,8.7421450017e+05,9.7518273007e+05,1.1242111859e+05,8.7323540427e+05,0.9988800278,0.1285967215,1.1154959451,1.2429726944,-1
1511,-3,-0.077177,8.8423620512e+05,9.1657387463e+05,1.1382241512e+05,8.8725182594e+05,1.0034104245,0.1287239930,1.0365713022,1.1687057198,-1
1553,-4,-0.101502,9.3086682476e+05,9.4627240889e+05,1.2114831947e+05,9.2374454862e+05,0.9923487700,0.1301457053,1.0165497187,1.1390441941,-1
1559,-4,-0.101306,9.3801526205e+05,9.3760895228e+05,1.2132799771e+05,9.3740309237e+05,0.9993473777,0.1293454410,0.9995668410,1.1282596596,-1
1567,-3,-0.075786,9.4676556940e+05,8.6081892507e+05,1.2320012041e+05,9.4885389470e+05,1.0022057470,0.1301273772,0.9092207753,1.0415538996,-1
1571,-4,-0.100919,9.5538611773e+05,9.6032889846e+05,1.2424576446e+05,9.5126364799e+05,0.9956850224,0.1300476971,1.0051735949,1.1309063144,-1
1579,-4,-0.100663,9.6602195132e+05,9.5216747025e+05,1.2502150166e+05,9.6623299493e+05,1.0002184667,0.1294189035,0.9856582130,1.1152955831,-1
1583,-7,-0.175937,9.7626609617e+05,1.2404124306e+06,1.2517012740e+05,9.7394741693e+05,0.9976249516,0.1282131254,1.2705679686,1.3964060456,-1
1597,-5,-0.125117,9.8646878254e+05,1.0318941198e+06,1.2852736302e+05,9.8350000626e+05,0.9969905015,0.1302903501,1.0460484285,1.1733292802,-1
1601,-8,-0.199938,9.9596091694e+05,1.3084217104e+06,1.2938401882e+05,9.8652998126e+05,0.9905308175,0.1299087310,1.3137279667,1.4341675152,-1
1607,-10,-0.249455,1.0079395436e+06,1.4404834602e+06,1.2970946003e+05,1.0032976036e+06,0.9953946246,0.1286877381,1.4291367665,1.5532191293,-1
1609,-11,-0.274230,1.0162335775e+06,1.5863268112e+06,1.2995610962e+05,1.0088957439e+06,0.9927793829,0.1278801572,1.5609864172,1.6816459573,-1
1613,-11,-0.273890,1.0240484897e+06,1.6837606951e+06,1.3116898016e+05,1.0140702678e+06,0.9902561041,0.1280886418,1.6442196947,1.7625644406,-1
1619,-13,-0.323087,1.0360783952e+06,1.8914119962e+06,1.3080432516e+05,1.0365681377e+06,1.0004726887,0.1262494477,1.8255491138,1.9522712501,-1
1621,-14,-0.347725,1.0471814934e+06,2.0529134822e+06,1.3294980149e+05,1.0187637372e+06,0.9728626257,0.1269596554,1.9604180318,2.0602403128,-1
1627,-14,-0.347084,1.0572100769e+06,2.0816298164e+06,1.3292527047e+05,1.0472481272e+06,0.9905771332,0.1257321259,1.9689840854,2.0852933445,-1
1637,-16,-0.395454,1.0727703110e+06,2.1529861736e+06,1.3408363576e+05,1.0654890226e+06,0.9932126306,0.1249882052,2.0069404899,2.1251413257,-1
1657,-10,-0.245662,1.0686679559e+06,1.6406929361e+06,1.3841688236e+05,1.0624239276e+06,0.9941571858,0.1295228154,1.5352691424,1.6589491436,-1
1663,-11,-0.269741,1.0849592882e+06,1.7445899899e+06,1.3858191929e+05,1.0802818551e+06,0.9956888400,0.1277300640,1.6079773765,1.7313962805,-1
1667,-12,-0.293909,1.0929202158e+06,1.9295926768e+06,1.3976891988e+05,1.0816931104e+06,0.9897274245,0.1278857485,1.7655384619,1.8831516350,-1
1669,-13,-0.318211,1.1060351068e+06,2.0961399784e+06,1.4007791811e+05,1.0927013529e+06,0.9879445473,0.1266487087,1.8951839461,2.0097772022,-1
1693,-9,-0.218733,1.1136103094e+06,1.5401149469e+06,1.4419312065e+05,1.1080867773e+06,0.9950399776,0.1294825662,1.3829927165,1.5075152603,-1
1697,-11,-0.267025,1.1275082279e+06,1.7638646533e+06,1.4475633912e+05,1.1248950737e+06,0.9976823635,0.1283860601,1.5643918240,1.6904602476,-1
1699,-13,-0.315389,1.1417452881e+06,1.9613133286e+06,1.4478979075e+05,1.1357428011e+06,0.9947427092,0.1268144412,1.7178203835,1.8393775339,-1
1709,-13,-0.314465,1.1520585327e+06,2.0395340372e+06,1.4640323313e+05,1.1527645161e+06,1.0006128017,0.1270796830,1.7703389015,1.8980313862,-1
1721,-9,-0.216946,1.1597287777e+06,1.6340924740e+06,1.4904619377e+05,1.1527250738e+06,0.9939609122,0.1285181472,1.4090298572,1.5315089166,-1
1723,-9,-0.216820,1.1669584391e+06,1.7548076414e+06,1.4987517818e+05,1.1489923360e+06,0.9846043334,0.1284323187,1.5037447630,1.6167814152,-1
1733,-9,-0.216194,1.1762009511e+06,1.7145866033e+06,1.5094072226e+05,1.1727761650e+06,0.9970882645,0.1283290258,1.4577327128,1.5831500032,-1
1741,-9,-0.215697,1.1864399462e+06,1.6557674913e+06,1.5289926010e+05,1.1760252533e+06,0.9912218963,0.1288723130,1.3955763177,1.5156705269,-1
1747,-11,-0.263176,1.1975399785e+06,1.8574340644e+06,1.5316849949e+05,1.1923980074e+06,0.9957062218,0.1279026189,1.5510413829,1.6746502236,-1
1753,-12,-0.286609,1.2102441450e+06,2.0307093135e+06,1.5480338248e+05,1.1950931592e+06,0.9874810501,0.1279108708,1.6779335987,1.7933255196,-1
1759,-12,-0.286120,1.2246233993e+06,1.9986476572e+06,1.5477072542e+05,1.2196385657e+06,0.9959294966,0.1263823029,1.6320508479,1.7543626474,-1
1777,-7,-0.166056,1.2398277935e+06,1.5431775494e+06,1.5937343345e+05,1.2191352009e+06,0.9833101075,0.1285448143,1.2446708789,1.3565258007,-1
1783,-7,-0.165776,1.2456059157e+06,1.5481588532e+06,1.6043405626e+05,1.2401338536e+06,0.9956069074,0.1288000115,1.2428961950,1.3673031139,-1
1787,-8,-0.189246,1.2502737949e+06,1.7068769305e+06,1.6054198055e+05,1.2409073996e+06,0.9925085246,0.1284054590,1.3652025160,1.4861164997,-1
1789,-9,-0.212783,1.2595444462e+06,1.8990410911e+06,1.6103927525e+05,1.2479483857e+06,0.9907934487,0.1278551747,1.5077205865,1.6263692099,-1
1801,-7,-0.164946,1.2698718808e+06,1.5862080226e+06,1.6418542676e+05,1.2500566330e+06,0.9843958685,0.1292929068,1.2491087067,1.3627974820,-1
1811,-7,-0.164490,1.2800295484e+06,1.5971541546e+06,1.6474874399e+05,1.2773905218e+06,0.9979383080,0.1287069851,1.2477478794,1.3743931725,-1
1823,-3,-0.070263,1.2895454214e+06,1.1749506459e+06,1.6646159623e+05,1.2927432523e+06,1.0024798125,0.1290854851,0.9111355260,1.0427008236,-1
1831,-3,-0.070110,1.2996717746e+06,1.1957060339e+06,1.6872892371e+05,1.2974293528e+06,0.9982746246,0.1298242579,0.9200061564,1.0481050389,-1
1873,-3,-0.069319,1.3639519183e+06,1.0902156542e+06,1.7762129759e+05,1.3500409034e+06,0.9898009492,0.1302254832,0.7993065148,0.9193329472,-1
1877,-3,-0.069245,1.3704440219e+06,1.2156252687e+06,1.7758452152e+05,1.3624743708e+06,0.9941846212,0.1295817404,0.8870302247,1.0107965864,-1
1879,-5,-0.115347,1.3798163604e+06,1.4468891226e+06,1.7718566312e+05,1.3794703699e+06,0.9997492489,0.1284124962,1.0486099195,1.1767716646,-1
1889,-7,-0.161058,1.3873159729e+06,1.7995034309e+06,1.7848342648e+05,1.3897974082e+06,1.0017886591,0.1286537674,1.2971114484,1.4275538748,-1
1901,-4,-0.091742,1.4024093621e+06,1.4241732694e+06,1.8231321776e+05,1.3965151510e+06,0.9957970823,0.1300000005,1.0155189404,1.1413160231,-1
1907,-5,-0.114497,1.4132196173e+06,1.5262589251e+06,1.8280211504e+05,1.4075988416e+06,0.9960227161,0.1293515267,1.0799870780,1.2053613208,-1
1913,-6,-0.137181,1.4241941180e+06,1.6161462186e+06,1.8389603654e+05,1.4223918055e+06,0.9987345036,0.1291228732,1.1347794504,1.2626368273,-1
1933,-3,-0.068235,1.4553443817e+06,1.1654605015e+06,1.8866937219e+05,1.4516568060e+06,0.9974661835,0.1296389876,0.8008142376,0.9279194087,-1
2143,-3,-0.064805,1.8059722440e+06,2.4300532384e+06,2.3170110627e+05,1.7951009113e+06,0.9939803434,0.1282971580,1.3455651085,1.4678426098,-1
2347,-3,-0.061925,2.1566226291e+06,2.3453338003e+06,2.7811795833e+05,2.1565711184e+06,0.9999761151,0.1289599555,1.0875031026,1.2164391732,-1
2351,-4,-0.082496,2.1677798142e+06,2.5922357461e+06,2.7753113916e+05,2.1543168801e+06,0.9937895288,0.1280255206,1.1958021424,1.3176171917,-1
2357,-6,-0.123587,2.1840262263e+06,2.9764841305e+06,2.7926084031e+05,2.1614567866e+06,0.9896661315,0.1278651497,1.3628426686,1.4803739498,-1
2377,-3,-0.061533,2.2162222051e+06,2.5936857406e+06,2.8592612944e+05,2.1999408936e+06,0.9926535744,0.1290151000,1.1703184521,1.2919871266,-1
2381,-6,-0.122962,2.2257560893e+06,3.1686443463e+06,2.8649148619e+05,2.1923210861e+06,0.9849781369,0.1287164787,1.4236260485,1.5373206641,-1
2383,-8,-0.163881,2.2408542211e+06,3.5302968476e+06,2.8566770571e+05,2.2307289471e+06,0.9954815115,0.1274816108,1.5754245923,1.6983877146,-1
2389,-9,-0.184134,2.2663202636e+06,3.9996853348e+06,2.8728269058e+05,2.2401444713e+06,0.9884500912,0.1267617358,1.7648367704,1.8800485975,-1
2393,-10,-0.204422,2.2785284425e+06,4.2562513310e+06,2.8845810910e+05,2.2516149302e+06,0.9881882044,0.1265984237,1.8679825328,1.9827691609,-1
2399,-12,-0.245000,2.2994867237e+06,4.5328486239e+06,2.8864180867e+05,2.2836449158e+06,0.9931107200,0.1255244510,1.9712436594,2.0898788304,-1
2411,-15,-0.305487,2.3290332634e+06,4.9850885078e+06,2.9230315298e+05,2.3081964276e+06,0.9910534400,0.1255040697,2.1404110392,2.2569685489,-1
2417,-15,-0.305108,2.3372876236e+06,5.0500871919e+06,2.9393402028e+05,2.3012411568e+06,0.9845776504,0.1257586004,2.1606614183,2.2709976691,-1
2423,-15,-0.304730,2.3505616892e+06,5.0647129081e+06,2.9558317755e+05,2.3136316554e+06,0.9842888472,0.1257500192,2.1546819773,2.2647208437,-1
2437,-11,-0.222826,2.3491665431e+06,4.3227798786e+06,3.0002427349e+05,2.3237919549e+06,0.9891984720,0.1277151994,1.8401334258,1.9570470972,-1
2441,-13,-0.263123,2.3699609668e+06,4.7353328073e+06,2.9994424144e+05,2.3477782810e+06,0.9906400628,0.1265608361,1.9980636279,2.1152645269,-1
2447,-12,-0.242585,2.3808475153e+06,4.7678212068e+06,3.0012949134e+05,2.3831925546e+06,1.0009849599,0.1260599385,2.0025731073,2.1296180056,-1
2459,-11,-0.221826,2.3937269018e+06,4.3690366613e+06,3.0346808340e+05,2.3862938524e+06,0.9968947797,0.1267764018,1.8252026403,1.9488738217,-1
2467,-10,-0.201333,2.4018316232e+06,4.2946114113e+06,3.0703554099e+05,2.3812960531e+06,0.9914500376,0.1278339156,1.7880568187,1.9073407719,-1
2473,-8,-0.160871,2.4148137155e+06,3.9941384083e+06,3.0859648055e+05,2.3936127861e+06,0.9912204700,0.1277930793,1.6540151245,1.7730286738,-1
2477,-8,-0.160741,2.4327078043e+06,4.0878687720e+06,3.0886817062e+05,2.4146109350e+06,0.9925610181,0.1269647633,1.6803780400,1.7999038214,-1
