p,M,M_over_sqrtp,A_raw,B_raw,C_raw,N_raw,NA,CA,BA,margin,deltaW_sign
26959,-17,-0.103537,2.9389132328e+08,9.2806964156e+08,3.6783441491e+07,2.9031397596e+08,0.9878276525,0.1251600118,3.1578667625,3.2708544268,-1
27077,-19,-0.115466,2.9595763902e+08,1.0317596047e+09,3.7116825542e+07,2.9224313425e+08,0.9874492012,0.1254126289,3.4861732514,3.5990350815,-1
27241,-4,-0.024235,2.9804946065e+08,4.6668578163e+08,3.7575145879e+07,2.9484286202e+08,0.9892413876,0.1260701690,1.5657997857,1.6811113423,-1
27397,-4,-0.024166,3.0092090759e+08,3.7189376758e+08,3.7994617722e+07,2.9781786286e+08,0.9896881717,0.1262611429,1.2358522063,1.3518015210,-1
28069,-7,-0.041782,3.1817911405e+08,5.1561872471e+08,3.9884032603e+07,3.1383611244e+08,0.9863504504,0.1253508821,1.6205297643,1.7322310968,-1
28597,-4,-0.023654,3.3011083403e+08,4.2285631722e+08,4.1401067417e+07,3.2585817649e+08,0.9871174857,0.1254156579,1.2809525578,1.3934857014,-1
28669,-10,-0.059060,3.3332539548e+08,7.6884586570e+08,4.1609606454e+07,3.2834914283e+08,0.9850708865,0.1248317921,2.3065925253,2.4164952039,-1
28793,-22,-0.129652,3.3622432241e+08,1.0685025546e+09,4.1974783249e+07,3.3170279945e+08,0.9865520646,0.1248416026,3.1779454472,3.2893391144,-1
28921,-22,-0.129365,3.3902641325e+08,1.0797567412e+09,4.2362459044e+07,3.3369482399e+08,0.9842738234,0.1249532703,3.1848749804,3.2941020740,-1
29059,-21,-0.123191,3.4255328218e+08,1.0281315619e+09,4.2757329269e+07,3.3682905835e+08,0.9832895373,0.1248194996,3.0013770568,3.1094860938,-1
29201,-13,-0.076075,3.4636108856e+08,9.8776148554e+08,4.3177335242e+07,3.4086235491e+08,0.9841242743,0.1246598901,2.8518257916,2.9606099559,-1
29327,-8,-0.046715,3.4812091868e+08,9.0055644348e+08,4.3544858516e+07,3.4329232895e+08,0.9861295617,0.1250854407,2.5869070060,2.6981220083,-1
29429,-9,-0.052463,3.5196235170e+08,9.6009868156e+08,4.3840458646e+07,3.4650123572e+08,0.9844838064,0.1245600799,2.7278448304,2.8368887167,-1
33547,-3,-0.016379,4.5388952972e+08,1.0654354675e+09,5.6978557247e+07,4.4859823130e+08,0.9883423210,0.1255339758,2.3473453291,2.4612216260,-1
